geography,crime,week_to_date_current,week_to_date_prior,week_to_date_pct_change,twenty_eight_day_current,twenty_eight_day_prior,twenty_eight_day_pct_change,year_to_date_current,year_to_date_prior,year_to_date_pct_change,historical_2_yr_pct,historical_14_yr_pct,historical_31_yr_pct
Citywide,Murder,2,6.0,-66.666666666666,15,29,-48.275862068965,77,108,-28.703703703703,-37.903225806451,-49.673202614379,-87.931034482758
Citywide,Rape,44,51.0,-13.725490196078,173,158,9.493670886075,725,672,7.886904761904,40.776699029126,75.970873786407,-29.474708171206
Citywide,Robbery,292,349.0,-16.332378223495,1038,1199,-13.427856547122,4146,4583,-9.535238926467,-24.010263929618,-29.597554763117,-85.162652542676
Citywide,Fel. Assault,575,661.0,-13.010590015128,2273,2430,-6.460905349794,9361,9494,-1.400884769328,2.272478968644,75.496812898387,-25.129968807486
Citywide,Burglary,188,238.0,-21.008403361344,792,961,-17.585848074922,3516,4399,-20.07274380541,-19.39477303989,-39.095790750043,-89.335759781619
Citywide,Gr. Larceny,867,987.0,-12.158054711246,3458,3592,-3.730512249443,14277,14820,-3.663967611336,-11.717783823893,22.982169006805,-46.136723760658
Citywide,G.L.A.,227,316.0,-28.164556962025,900,1185,-24.050632911392,3755,4134,-9.167876149008,-14.425706472196,15.148727384238,-90.159079592211
Citywide,Transit,57,38.0,50.0,171,163,4.907975460122,732,733,-0.136425648021,0.411522633744,5.323741007194,
Citywide,Housing,115,135.0,-14.814814814814,409,476,-14.0756302521,1768,1938,-8.771929824561,-12.214498510427,44.799344799344,
Citywide,Petit Larceny,1959,2104.0,-6.891634980988,7740,8049,-3.838986209467,31896,34880,-8.555045871559,-11.177944862155,27.553387187075,
Citywide,Retail Theft,873,1065.0,-18.028169014084,3541,4135,-14.365175332527,14955,18621,-19.687449653616,-26.311899482631,,
Citywide,Misd. Assault,931,994.0,-6.338028169014,3632,3672,-1.089324618736,14666,14497,1.165758432779,-0.224505068371,1.144827586206,
Citywide,UCR Rape*,52,57.0,-8.771929824561,214,188,13.829787234042,898,841,6.777645659928,8.062575210589,,
Citywide,Other Sex Crimes,130,133.0,-2.255639097744,456,453,0.662251655629,1725,1715,0.583090379008,2.495543672014,,
Citywide,Shooting Vic.,13,21.0,-38.095238095238,61,78,-21.794871794871,236,250,-5.6,-18.620689655172,-52.323232323232,-87.138964577656
Citywide,Shooting Inc.,12,19.0,-36.842105263157,53,66,-19.696969696969,201,213,-5.633802816901,-18.623481781376,-50.37037037037,-87.971274685816
Citywide,Hate Crimes,0,12.0,-100.0,41,68,-39.705882352941,194,209,-7.177033492822,-5.365853658536,,
Citywide,Traffic Fatalities,5,1.0,400.0,17,11,54.545454545454,60,58,3.448275862068,-26.829268292682,,
Manhattan South,Murder,0,0.0,,2,1,100.0,4,4,0.0,-33.333333333333,-42.857142857142,-88.235294117647
Manhattan South,Rape,5,6.0,-16.666666666666,16,20,-20.0,53,74,-28.378378378378,12.765957446808,65.625,-19.696969696969
Manhattan South,Robbery,32,45.0,-28.888888888888,94,148,-36.486486486486,377,521,-27.639155470249,-26.3671875,-1.822916666666,-88.641156974992
Manhattan South,Fel. Assault,47,71.0,-33.802816901408,180,213,-15.492957746478,773,774,-0.129198966408,5.601092896174,84.486873508353,-28.293135435992
Manhattan South,Burglary,28,31.0,-9.677419354838,117,143,-18.181818181818,586,692,-15.317919075144,-11.077389984825,-8.580343213728,-85.054832950777
Manhattan South,Gr. Larceny,180,188.0,-4.255319148936,694,691,0.434153400868,3069,3249,-5.540166204986,-8.41539838854,-8.278541542139,-70.456295725837
Manhattan South,G.L.A.,8,8.0,0.0,26,26,0.0,90,97,-7.21649484536,-33.823529411764,-19.642857142857,-95.734597156398
Manhattan South,Transit,16,11.0,45.454545454545,49,45,8.888888888888,213,245,-13.061224489795,-1.388888888888,15.760869565217,
Manhattan South,Housing,12,13.0,-7.692307692307,36,32,12.5,157,153,2.614379084967,19.847328244274,30.833333333333,
Manhattan South,Petit Larceny,396,386.0,2.590673575129,1485,1506,-1.394422310756,6097,6648,-8.288206979542,-14.727272727272,15.102888427411,
Manhattan South,Retail Theft,284,301.0,-5.647840531561,1097,1146,-4.275741710296,4743,5387,-11.954705773157,-22.601174934725,,
Manhattan South,Misd. Assault,92,109.0,-15.596330275229,407,397,2.518891687657,1626,1614,0.743494423791,1.752190237797,34.158415841584,
Manhattan South,UCR Rape*,6,6.0,0.0,20,22,-9.090909090909,67,85,-21.176470588235,-11.842105263157,,
Manhattan South,Other Sex Crimes,21,25.0,-16.0,74,88,-15.90909090909,273,300,-9.0,-5.53633217993,,
Manhattan South,Shooting Vic.,1,1.0,0.0,5,1,400.0,7,4,75.0,-36.363636363636,-41.666666666666,-87.5
Manhattan South,Shooting Inc.,1,1.0,0.0,4,1,300.0,6,4,50.0,-33.333333333333,-25.0,-87.755102040816
Manhattan South,Hate Crimes,0,3.0,-100.0,5,8,-37.5,31,47,-34.042553191489,-40.384615384615,,
Manhattan South,Traffic Fatalities,0,1.0,-100.0,1,1,0.0,3,6,-50.0,-25.0,,
Manhattan North,Murder,0,1.0,-100.0,2,8,-75.0,5,14,-64.285714285714,-73.684210526315,-68.75,-95.535714285714
Manhattan North,Rape,3,3.0,0.0,12,12,0.0,63,69,-8.695652173913,46.511627906976,1.612903225806,-60.377358490566
Manhattan North,Robbery,33,38.0,-13.157894736842,121,127,-4.724409448818,460,560,-17.857142857142,-33.908045977011,-39.473684210526,-84.952567877003
Manhattan North,Fel. Assault,67,66.0,1.515151515151,267,239,11.715481171548,976,948,2.95358649789,-4.780487804878,67.123287671232,-44.068767908309
Manhattan North,Burglary,24,21.0,14.285714285714,102,105,-2.857142857142,446,491,-9.164969450101,-7.660455486542,-3.253796095444,-87.787513691128
Manhattan North,Gr. Larceny,118,148.0,-20.27027027027,460,508,-9.448818897637,1856,1958,-5.209397344228,-12.162801703738,26.516700749829,-48.315232525758
Manhattan North,G.L.A.,10,17.0,-41.176470588235,51,84,-39.285714285714,223,269,-17.100371747211,-24.662162162162,31.176470588235,-93.199146081122
Manhattan North,Transit,8,2.0,300.0,21,12,75.0,83,78,6.410256410256,-6.741573033707,7.792207792207,
Manhattan North,Housing,24,23.0,4.347826086956,82,96,-14.583333333333,341,438,-22.146118721461,-21.967963386727,32.684824902723,
Manhattan North,Petit Larceny,235,282.0,-16.666666666666,1016,993,2.316213494461,3999,4708,-15.059473237043,-4.192620987062,41.9595314164,
Manhattan North,Retail Theft,128,137.0,-6.569343065693,481,544,-11.580882352941,1851,2657,-30.334964245389,-16.808988764044,,
Manhattan North,Misd. Assault,77,120.0,-35.833333333333,386,411,-6.082725060827,1540,1557,-1.091843288375,-1.910828025477,-7.396271797955,
Manhattan North,UCR Rape*,3,6.0,-50.0,15,19,-21.052631578947,75,88,-14.772727272727,7.142857142857,,
Manhattan North,Other Sex Crimes,14,12.0,16.666666666666,51,49,4.081632653061,200,188,6.382978723404,4.712041884816,,
Manhattan North,Shooting Vic.,2,2.0,0.0,12,8,50.0,29,26,11.538461538461,-9.375,-49.122807017543,-88.492063492063
Manhattan North,Shooting Inc.,2,2.0,0.0,11,7,57.142857142857,26,23,13.043478260869,0.0,-50.0,-88.936170212766
Manhattan North,Hate Crimes,0,1.0,-100.0,9,4,125.0,34,25,36.0,-15.0,,
Manhattan North,Traffic Fatalities,2,0.0,,2,1,100.0,8,6,33.333333333333,60.0,,
Bronx,Murder,2,2.0,0.0,3,11,-72.727272727272,28,32,-12.5,-20.0,-17.647058823529,-82.389937106918
Bronx,Rape,9,15.0,-40.0,46,40,15.0,201,179,12.290502793296,42.553191489361,128.409090909091,-9.459459459459
Bronx,Robbery,78,113.0,-30.973451327433,302,407,-25.798525798525,1263,1450,-12.896551724137,-20.963704630788,-6.305637982195,-76.641390789717
Bronx,Fel. Assault,175,166.0,5.421686746987,685,651,5.222734254992,2747,2723,0.881380829966,9.70447284345,96.63564781675,3.076923076923
Bronx,Burglary,55,55.0,0.0,205,226,-9.29203539823,819,1004,-18.426294820717,-14.509394572025,-16.08606557377,-86.667751912746
Bronx,Gr. Larceny,164,197.0,-16.751269035533,626,747,-16.19812583668,2602,2949,-11.766700576466,-13.237745915305,90.204678362573,13.823272090988
Bronx,G.L.A.,66,114.0,-42.105263157894,219,391,-43.989769820971,1065,1438,-25.938803894297,-19.561933534743,63.594470046082,-79.499518768046
Bronx,Transit,8,2.0,300.0,19,23,-17.391304347826,128,102,25.490196078431,0.787401574803,20.754716981132,
Bronx,Housing,33,29.0,13.793103448275,115,135,-14.814814814814,517,510,1.372549019607,-9.773123909249,62.578616352201,
Bronx,Petit Larceny,366,358.0,2.234636871508,1354,1429,-5.248425472358,5619,5803,-3.170773737721,0.37513397642,43.195718654434,
Bronx,Retail Theft,123,116.0,6.03448275862,477,480,-0.625,1843,1937,-4.852865255549,-18.73897707231,,
Bronx,Misd. Assault,242,238.0,1.680672268907,915,865,5.780346820809,3594,3438,4.537521815008,3.842819994221,5.488699735837,
Bronx,UCR Rape*,12,17.0,-29.411764705882,56,51,9.803921568627,242,229,5.676855895196,6.607929515418,,
Bronx,Other Sex Crimes,24,31.0,-22.58064516129,90,98,-8.163265306122,371,354,4.802259887005,-6.075949367088,,
Bronx,Shooting Vic.,3,4.0,-25.0,13,33,-60.60606060606,82,90,-8.888888888888,-28.070175438596,-35.9375,-78.249336870026
Bronx,Shooting Inc.,3,4.0,-25.0,13,28,-53.571428571428,70,79,-11.392405063291,-23.076923076923,-36.363636363636,-79.411764705882
Bronx,Hate Crimes,0,0.0,,2,2,0.0,15,6,150.0,50.0,,
Bronx,Traffic Fatalities,1,0.0,,5,1,400.0,13,9,44.444444444444,-13.333333333333,,
Queens South,Murder,0,0.0,,3,0,,13,11,18.181818181818,18.181818181818,-35.0,-75.0
Queens South,Rape,9,6.0,50.0,28,14,100.0,86,61,40.983606557377,48.275862068965,95.454545454545,-22.522522522522
Queens South,Robbery,35,31.0,12.903225806451,102,93,9.677419354838,382,362,5.524861878453,-12.385321100917,-44.07027818448,-84.621578099839
Queens South,Fel. Assault,52,71.0,-26.760563380281,226,235,-3.829787234042,971,949,2.318229715489,-2.997002997003,88.178294573643,-12.522522522522
Queens South,Burglary,15,27.0,-44.444444444444,74,79,-6.32911392405,265,369,-28.184281842818,-24.501424501424,-57.735247208931,-91.083445491251
